title,price,image
Category,Category,/images/logo-color.png
Home,Home,https://loginmegastore.com/uploads/category/202512/category-fdwkki8f2y5y8xr8xgru5k69.jpg?w=100&h=100&fit=cover
Promo,Promo,https://loginmegastore.com/uploads/category/202512/category-rvcn7vof9bov9cz3w6hfh2py.jpg?w=100&h=100&fit=cover
Blog,Blog,https://loginmegastore.com/uploads/category/202512/category-o2fn7sk5ssatbhqdp2ckiuid.jpg?w=100&h=100&fit=cover
Hasil Pencarian 'kulkas',Hasil Pencarian 'kulkas',https://loginmegastore.com/uploads/product/0134-0510-0165_thumb.png?w=400&h=400&fit=contain
Wishlist Produk,Wishlist Produk,https://loginmegastore.com/uploads/product/0317-0177-0303_thumb.png?w=400&h=400&fit=contain
Wishlist Anda kosong,Wishlist Anda kosong,https://loginmegastore.com/uploads/product/0317-0175-0279_thumb.jpg?w=400&h=400&fit=contain
Keranjang Produk,Keranjang Produk,https://loginmegastore.com/uploads/product/0153-0175-1121_thumb.jpeg?w=400&h=400&fit=contain
Keranjang Anda kosong,Keranjang Anda kosong,https://loginmegastore.com/uploads/product/AA004225_thumb.jpeg?w=400&h=400&fit=contain
Filter,Filter,https://loginmegastore.com/uploads/product/AA002214_thumb1.jpg?w=400&h=400&fit=contain
Harga,Harga,https://loginmegastore.com/uploads/product/0153-0175-1122_thumb.png?w=400&h=400&fit=contain
Stok,Stok,https://loginmegastore.com/uploads/product/0535-0174-0080_thumb.png?w=400&h=400&fit=contain
Rating,Rating,https://loginmegastore.com/uploads/product/0162-0180-0241_thumb.png?w=400&h=400&fit=contain
Rating 4 Keatas,Rating 4 Keatas,https://loginmegastore.com/uploads/product/AA002220_thumb1.jpg?w=400&h=400&fit=contain
Urutan,Urutan,https://loginmegastore.com/uploads/product/0153-0174-1120_thumb.jpeg?w=400&h=400&fit=contain
Brand,Brand,https://loginmegastore.com/uploads/product/0317-0174-0253_thumb.png?w=400&h=400&fit=contain
Cari Kategori,Cari Kategori,https://loginmegastore.com/uploads/product/0317-0174-0255_thumb.png?w=400&h=400&fit=contain
Cooling,Cooling,https://loginmegastore.com/uploads/product/AA002854_thumb1.jpg?w=400&h=400&fit=contain
Household,Household,https://loginmegastore.com/uploads/product/AA002218_thumb.png?w=400&h=400&fit=contain
Washer,Washer,https://loginmegastore.com/uploads/product/0172-0175-0417_thumb.png?w=400&h=400&fit=contain
Urutkan,Urutkan,/images/icon/value-1.png
PANFILA UPRIGHT REF PRFU4150VB,PANFILA UPRIGHT REF PRFU4150VB,/images/icon/value-2.png
Rp 10.396.900,Rp 10.396.900,/images/icon/value-3.png
5%,5%,/images/icon/value-4.png
Rp 9.877.055,Rp 9.877.055,/images/icon/value-5.png
AQUA 4D REF AQRCTD506RGG(BK),AQUA 4D REF AQRCTD506RGG(BK),/images/logo-color.png
Rp 8.817.900,Rp 8.817.900,/images/logo/bca.png
7%,7%,/images/logo/bni.png
Rp 8.187.005,Rp 8.187.005,/images/logo/permata.png
Terjual 4,Terjual 4,/images/logo/mandiri.png
AQUA 2D REF AQR415IMBK,AQUA 2D REF AQR415IMBK,/images/logo/kredivo.png
Rp 5.828.500,Rp 5.828.500,/images/logo/akulaku.png
6%,6%,/images/logo/gopay.png
Rp 5.442.075,Rp 5.442.075,/images/logo/shopeepay.png
SHARP 2D REF SJ236MNHS,SHARP 2D REF SJ236MNHS,/images/logo/indodana.png
Rp 3.049.500,Rp 3.049.500,/images/logo/bca.png
5%,5%,/images/logo/mandiri.png
Rp 2.897.025,Rp 2.897.025,/images/logo/sicepat.png
Terjual 26,Terjual 26,/images/logo/login-delivery.png
SHARP 1D REF SJN162NHS,SHARP 1D REF SJN162NHS,/images/logo/lalamove.png
Rp 1.870.600,Rp 1.870.600,/images/assets/bg-graph.png
Category,Category,/images/logo-color.png
Home,Home,https://loginmegastore.com/uploads/category/202512/category-fdwkki8f2y5y8xr8xgru5k69.jpg?w=100&h=100&fit=cover
Promo,Promo,https://loginmegastore.com/uploads/category/202512/category-rvcn7vof9bov9cz3w6hfh2py.jpg?w=100&h=100&fit=cover
Blog,Blog,https://loginmegastore.com/uploads/category/202512/category-o2fn7sk5ssatbhqdp2ckiuid.jpg?w=100&h=100&fit=cover
Hasil Pencarian 'kulkas',Hasil Pencarian 'kulkas',https://loginmegastore.com/uploads/product/0144-0175-1981_thumb.png?w=400&h=400&fit=contain
Wishlist Produk,Wishlist Produk,https://loginmegastore.com/uploads/product/AA004106_thumb.jpg?w=400&h=400&fit=contain
Wishlist Anda kosong,Wishlist Anda kosong,https://loginmegastore.com/uploads/product/0134-0177-0163_thumb.png?w=400&h=400&fit=contain
Keranjang Produk,Keranjang Produk,https://loginmegastore.com/uploads/product/0121-0175-0489_thumb.png?w=400&h=400&fit=contain
Keranjang Anda kosong,Keranjang Anda kosong,https://loginmegastore.com/uploads/product/0535-0175-0078_thumb.png?w=400&h=400&fit=contain
Filter,Filter,https://loginmegastore.com/uploads/product/0317-0177-0341_thumb.png?w=400&h=400&fit=contain
Harga,Harga,https://loginmegastore.com/uploads/product/AA003913_thumb.png?w=400&h=400&fit=contain
Stok,Stok,https://loginmegastore.com/uploads/product/0317-0177-0300_thumb.png?w=400&h=400&fit=contain
Rating,Rating,https://loginmegastore.com/uploads/product/AA003801_thumb1.jpg?w=400&h=400&fit=contain
Rating 4 Keatas,Rating 4 Keatas,https://loginmegastore.com/uploads/product/0134-0177-0162_thumb.png?w=400&h=400&fit=contain
Urutan,Urutan,https://loginmegastore.com/uploads/product/AA004108_thumb.png?w=400&h=400&fit=contain
Brand,Brand,https://loginmegastore.com/uploads/product/0103-0175-1445_thumb.png?w=400&h=400&fit=contain
Cari Kategori,Cari Kategori,https://loginmegastore.com/uploads/product/AA003800_thumb1.jpg?w=400&h=400&fit=contain
Cooling,Cooling,https://loginmegastore.com/uploads/product/AA003959_thumb.png?w=400&h=400&fit=contain
Household,Household,https://loginmegastore.com/uploads/product/0317-0175-0319_thumb.png?w=400&h=400&fit=contain
Washer,Washer,https://loginmegastore.com/uploads/product/AA004294_thumb.jpeg?w=400&h=400&fit=contain
Urutkan,Urutkan,/images/icon/value-1.png
SAMSUNG 2D REF RT38CG6420B1SE,SAMSUNG 2D REF RT38CG6420B1SE,/images/icon/value-2.png
Rp 8.209.500,Rp 8.209.500,/images/icon/value-3.png
5%,5%,/images/icon/value-4.png
Rp 7.799.025,Rp 7.799.025,/images/icon/value-5.png
HITACHI 2D REF RWB640PGD1GCK,HITACHI 2D REF RWB640PGD1GCK,/images/logo-color.png
Rp 18.502.200,Rp 18.502.200,/images/logo/bca.png
5%,5%,/images/logo/bni.png
Rp 17.577.090,Rp 17.577.090,/images/logo/permata.png
PANFILA 4D REF PRFM5511GB,PANFILA 4D REF PRFM5511GB,/images/logo/mandiri.png
Rp 13.028.500,Rp 13.028.500,/images/logo/kredivo.png
5%,5%,/images/logo/akulaku.png
Rp 12.377.075,Rp 12.377.075,/images/logo/gopay.png
MODENA 2D REF RF2650TGDS,MODENA 2D REF RF2650TGDS,/images/logo/shopeepay.png
Rp 4.417.900,Rp 4.417.900,/images/logo/indodana.png
5%,5%,/images/logo/bca.png
Rp 4.197.005,Rp 4.197.005,/images/logo/mandiri.png
HISENSE 2D REF RT469N4IWPBU,HISENSE 2D REF RT469N4IWPBU,/images/logo/sicepat.png
Rp 5.239.000,Rp 5.239.000,/images/logo/login-delivery.png
5%,5%,/images/logo/lalamove.png
Rp 4.977.050,Rp 4.977.050,/images/assets/bg-graph.png
Category,Category,/images/logo-color.png
Home,Home,https://loginmegastore.com/uploads/category/202512/category-fdwkki8f2y5y8xr8xgru5k69.jpg?w=100&h=100&fit=cover
Promo,Promo,https://loginmegastore.com/uploads/category/202512/category-rvcn7vof9bov9cz3w6hfh2py.jpg?w=100&h=100&fit=cover
Blog,Blog,https://loginmegastore.com/uploads/category/202512/category-o2fn7sk5ssatbhqdp2ckiuid.jpg?w=100&h=100&fit=cover
Hasil Pencarian 'kulkas',Hasil Pencarian 'kulkas',https://loginmegastore.com/uploads/product/AA000769_thumb.jpeg?w=400&h=400&fit=contain
Wishlist Produk,Wishlist Produk,https://loginmegastore.com/uploads/product/AA003795_thumb.jpg?w=400&h=400&fit=contain
Wishlist Anda kosong,Wishlist Anda kosong,https://loginmegastore.com/uploads/product/AA003792_thumb.jpg?w=400&h=400&fit=contain
Keranjang Produk,Keranjang Produk,https://loginmegastore.com/uploads/product/0103-0178-1382_thumb.png?w=400&h=400&fit=contain
Keranjang Anda kosong,Keranjang Anda kosong,https://loginmegastore.com/uploads/product/0144-0175-1978_thumb.png?w=400&h=400&fit=contain
Filter,Filter,https://loginmegastore.com/uploads/product/AA003793_thumb.jpg?w=400&h=400&fit=contain
Harga,Harga,https://loginmegastore.com/uploads/product/AA004109_thumb.png?w=400&h=400&fit=contain
Stok,Stok,https://loginmegastore.com/uploads/product/0317-0175-0345_thumb.png?w=400&h=400&fit=contain
Rating,Rating,https://loginmegastore.com/uploads/product/0317-0175-0320_thumb.png?w=400&h=400&fit=contain
Rating 4 Keatas,Rating 4 Keatas,https://loginmegastore.com/uploads/product/0153-0175-1155_thumb.jpg?w=400&h=400&fit=contain
Urutan,Urutan,https://loginmegastore.com/uploads/product/AA000771_thumb.jpeg?w=400&h=400&fit=contain
Brand,Brand,https://loginmegastore.com/uploads/product/AA003794_thumb.jpg?w=400&h=400&fit=contain
Cari Kategori,Cari Kategori,https://loginmegastore.com/uploads/product/0081-0175-0395_thumb.png?w=400&h=400&fit=contain
Cooling,Cooling,https://loginmegastore.com/uploads/product/0153-0175-1172_thumb.png?w=400&h=400&fit=contain
Household,Household,https://loginmegastore.com/uploads/product/0535-0175-0095_thumb.png?w=400&h=400&fit=contain
Washer,Washer,https://loginmegastore.com/uploads/product/0121-0180-0485_thumb.png?w=400&h=400&fit=contain
Urutkan,Urutkan,/images/icon/value-1.png
HITACHI 2D REF RB33PGD8BSL,HITACHI 2D REF RB33PGD8BSL,/images/icon/value-2.png
Rp 7.817.900,Rp 7.817.900,/images/icon/value-3.png
5%,5%,/images/icon/value-4.png
Rp 7.427.005,Rp 7.427.005,/images/icon/value-5.png
SHARP 2D REF SJ317MGDB,SHARP 2D REF SJ317MGDB,/images/logo-color.png
Rp 3.681.100,Rp 3.681.100,/images/logo/bca.png
5%,5%,/images/logo/bni.png
Rp 3.497.045,Rp 3.497.045,/images/logo/permata.png
SHARP 2D REF SJ237MGDB,SHARP 2D REF SJ237MGDB,/images/logo/mandiri.png
Rp 3.239.000,Rp 3.239.000,/images/logo/kredivo.png
5%,5%,/images/logo/akulaku.png
Rp 3.077.050,Rp 3.077.050,/images/logo/gopay.png
LG SIDE BY SIDE 2D GCB257SQYL,LG SIDE BY SIDE 2D GCB257SQYL,/images/logo/shopeepay.png
Rp 14.081.100,Rp 14.081.100,/images/logo/indodana.png
5%,5%,/images/logo/bca.png
Rp 13.377.045,Rp 13.377.045,/images/logo/mandiri.png
SAMSUNG 2D REF RT42CG6420B1SE,SAMSUNG 2D REF RT42CG6420B1SE,/images/logo/sicepat.png
Rp 8.525.300,Rp 8.525.300,/images/logo/login-delivery.png
5%,5%,/images/logo/lalamove.png
Rp 8.099.035,Rp 8.099.035,/images/assets/bg-graph.png
Category,Category,/images/logo-color.png
Home,Home,https://loginmegastore.com/uploads/category/202512/category-fdwkki8f2y5y8xr8xgru5k69.jpg?w=100&h=100&fit=cover
Promo,Promo,https://loginmegastore.com/uploads/category/202512/category-rvcn7vof9bov9cz3w6hfh2py.jpg?w=100&h=100&fit=cover
Blog,Blog,https://loginmegastore.com/uploads/category/202512/category-o2fn7sk5ssatbhqdp2ckiuid.jpg?w=100&h=100&fit=cover
Hasil Pencarian 'kulkas',Hasil Pencarian 'kulkas',https://loginmegastore.com/uploads/product/0033-0751-0399_thumb.jpg?w=400&h=400&fit=contain
Wishlist Produk,Wishlist Produk,https://loginmegastore.com/uploads/product/0030-0029-0108_thumb.png?w=400&h=400&fit=contain
Wishlist Anda kosong,Wishlist Anda kosong,https://loginmegastore.com/uploads/product/0030-0029-0121_thumb.png?w=400&h=400&fit=contain
Keranjang Produk,Keranjang Produk,https://loginmegastore.com/uploads/product/0030-0029-0124_thumb.png?w=400&h=400&fit=contain
Keranjang Anda kosong,Keranjang Anda kosong,https://loginmegastore.com/uploads/product/0030-0752-0295_thumb.png?w=400&h=400&fit=contain
Filter,Filter,https://loginmegastore.com/uploads/product/0030-0752-0293_thumb.png?w=400&h=400&fit=contain
Harga,Harga,https://loginmegastore.com/uploads/product/0030-0752-0296_thumb.png?w=400&h=400&fit=contain
Stok,Stok,https://loginmegastore.com/uploads/product/BC000155_thumb.jpg?w=400&h=400&fit=contain
Rating,Rating,https://loginmegastore.com/uploads/product/BC000171_thumb.jpg?w=400&h=400&fit=contain
Rating 4 Keatas,Rating 4 Keatas,https://loginmegastore.com/uploads/product/0030-0752-0294_thumb.png?w=400&h=400&fit=contain
Urutan,Urutan,https://loginmegastore.com/uploads/product/BC001369_thumb.jpg?w=400&h=400&fit=contain
Brand,Brand,https://loginmegastore.com/uploads/product/0134-0178-0160_thumb.png?w=400&h=400&fit=contain
Cari Kategori,Cari Kategori,https://loginmegastore.com/uploads/product/0134-0178-0161_thumb.png?w=400&h=400&fit=contain
Cooling,Cooling,https://loginmegastore.com/uploads/product/0134-0180-0141_thumb.jpeg?w=400&h=400&fit=contain
Household,Household,https://loginmegastore.com/uploads/product/AA003914_thumb.jpg?w=400&h=400&fit=contain
Washer,Washer,https://loginmegastore.com/uploads/product/0477-0179-0038_thumb.png?w=400&h=400&fit=contain
Urutkan,Urutkan,/images/icon/value-1.png
BORISH BEINZ EGG BOX ACC BBKW LT01 WH,BORISH BEINZ EGG BOX ACC BBKW LT01 WH,/images/icon/value-2.png
Rp 98.500,Rp 98.500,/images/icon/value-3.png
5%,5%,/images/icon/value-4.png
Rp 93.575,Rp 93.575,/images/icon/value-5.png
BERVIN MULTIFUNCTION STAND BOS 100 GREY,BERVIN MULTIFUNCTION STAND BOS 100 GREY,/images/logo-color.png
Rp 460.000,Rp 460.000,/images/logo/bca.png
5%,5%,/images/logo/bni.png
Rp 437.000,Rp 437.000,/images/logo/permata.png
BERVIN MSTNACCREF BOS 200 DARKGREY,BERVIN MSTNACCREF BOS 200 DARKGREY,/images/logo/mandiri.png
Rp 607.400,Rp 607.400,/images/logo/kredivo.png
5%,5%,/images/logo/akulaku.png
Rp 577.030,Rp 577.030,/images/logo/gopay.png
Terjual 12,Terjual 12,/images/logo/shopeepay.png
BERVIN MULTIFUNCTION STAND BOS 50 GREY,BERVIN MULTIFUNCTION STAND BOS 50 GREY,/images/logo/indodana.png
Rp 365.300,Rp 365.300,/images/logo/bca.png
5%,5%,/images/logo/mandiri.png
Rp 347.035,Rp 347.035,/images/logo/sicepat.png
Terjual 4,Terjual 4,/images/logo/login-delivery.png
